,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,3784,4197,5503,5546,3930,8313,4303,3990,10182,3180,3936,3797,2876,6246,3378,11316,11127,3182,11207,10968,7069,7727,1537
2,3086,0,441,4196,4239,310,10257,539,226,5724,5637,2629,6254,4184,4536,6676,5387,6340,1298,5644,5789,4479,6420,1622
3,3506,448,0,4630,4673,744,10692,559,518,5378,6057,3063,6674,4619,4956,7096,5041,5994,1733,5298,5443,5091,5202,2042
4,5755,4354,4775,0,834,4106,9991,4369,4326,5973,9458,1708,10075,3593,11721,6952,7107,6918,4894,6998,6759,11537,3518,5033
5,5318,3917,4018,641,0,3669,9652,3686,3889,5634,9021,1385,9638,3039,11382,6533,6768,6579,4457,6659,6420,11198,3179,4596
6,3102,310,731,3948,3991,0,10012,595,282,6020,5653,2381,6270,3939,4674,6692,5683,6636,1053,5940,6085,4617,6172,1626
7,8239,10264,10685,10875,10701,10018,0,13755,10236,13933,8630,11608,9718,7041,19681,5812,15067,14878,9576,14958,14719,19497,11478,9434
8,3689,598,611,4410,4453,654,10602,0,428,5894,6240,2843,6857,4529,5103,7279,5557,6510,1643,5814,5959,5046,6634,2216
9,3317,226,511,4168,4211,282,10230,369,0,5794,5868,2601,6485,4157,4731,6907,5457,6410,1271,5714,5859,4674,6392,1844
10,9525,6675,6688,6170,7021,6486,14076,6356,6505,0,12076,7755,12693,9239,12630,12078,794,1265,7178,398,752,12446,4527,7751
11,3283,5261,5674,7634,7617,5407,8477,5780,5467,10957,0,6144,1149,4956,7698,3542,10620,11573,5442,10877,11022,8521,9907,4110
12,3969,2568,2989,1698,1799,2320,10284,2583,2540,6585,7672,0,8289,2094,6931,5110,7719,7530,3108,7610,7371,6874,4130,3247
13,3795,5773,6186,8146,8129,5919,8989,6292,5979,11469,1034,6656,0,5468,7934,4054,11132,12085,5954,11389,11534,8757,10419,4622
14,2808,3442,3863,3498,3481,3196,7264,3727,3414,8226,5450,2008,6067,0,7416,3987,9360,9171,2754,9251,9012,7614,5771,2612
15,6647,4322,4735,11240,11361,4468,19115,4841,4528,11799,8587,6787,8966,8362,0,9015,12933,12744,5476,12824,12585,1047,9340,5423
16,3829,6176,6597,6500,6223,5930,5169,6461,6148,11792,3676,4912,3586,3102,8538,0,12926,12737,5488,12817,12578,9361,9337,5346
17,8527,5677,5690,6453,7304,5488,14359,5358,5507,771,11078,8038,11695,9522,12913,12361,0,896,6180,451,1557,11221,4810,6753
18,8632,5782,5795,6535,7386,5593,14441,5463,5612,864,11183,8120,11800,9604,12995,12443,255,0,6285,551,1639,12811,4892,6858
19,3352,1541,1962,4404,4447,1295,9594,1826,1513,9083,5611,2837,6228,3521,5297,6317,10217,10028,0,10108,9869,5713,6628,1208
20,8878,6028,6041,6781,7632,5839,14687,5709,5858,398,11429,8366,12046,9850,13241,12689,474,595,6531,0,1054,13057,5138,7104
21,10823,6604,6617,5592,6443,6415,13498,6285,6434,720,12005,7177,12622,8661,12052,11500,1383,1194,7107,1022,0,11868,3949,10101
22,7254,4643,5056,12284,12405,4789,20159,5162,4849,12843,11387,7108,11549,8969,1047,9622,13977,13788,6083,13868,13629,0,10384,6030
23,8053,9494,9507,2829,2950,9305,10530,9175,9324,3139,23452,4407,23614,5891,9294,10205,4273,4084,7192,4164,3925,9110,0,7331
24,9222,12557,12970,35172,16889,12703,14600,13076,12763,35731,6461,15279,6132,10895,12338,9481,36865,36676,12801,36756,36517,12868,33272,11549