,D1,D2,D3,D4,D5,H1,H2,H3,H4,H5,H6,H7,H8,H9,H1,H11,H12,H13,H14,H15,H16,H17,H18,H19,H2,H21,H22,H23,H24
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H13,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
H14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H17,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
H18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
P2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
P3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,